Summary,Precip_Type,Temperature (C),Apparent_Temperature_C,Humidity,Visibility (km),Pressure (millibars)
Overcast,snow,-2.144444444,-6.2,0.86,4.83,1025.18
Overcast,snow,-2.466666667,-4.322222222,0.89,3.8962,1023.23
Overcast,snow,-2.744444444,-2.744444444,0.89,4.3631,1025.19
Overcast,snow,-2.188888889,-2.188888889,0.88,4.3631,1025.25
Overcast,snow,-2.038888889,-2.038888889,0.87,4.7334,1024.88
Overcast,snow,-2.672222222,-5.8,0.88,4.3631,1024.87
Overcast,snow,-2.605555556,-2.605555556,0.88,4.3631,1025.15
Overcast,snow,-2.433333333,-2.433333333,0.89,3.5259,1025.79
Foggy,snow,-2.472222222,-2.472222222,0.88,2.9624,1026.03
Overcast,snow,-2.405555556,-5.461111111,0.88,4.8139,1026.23
Overcast,snow,-2.233333333,-4.305555556,0.89,5.6511,1026.5
Overcast,snow,-2.261111111,-5.816666667,0.88,6.9069,1026.52
Mostly Cloudy,snow,-1.172222222,-4.544444444,0.81,8.7423,1026.11
Mostly Cloudy,snow,-1.072222222,-2.911111111,0.82,9.9015,1025.72
Mostly Cloudy,snow,-0.033333333,-0.033333333,0.76,6.0214,1024.92
Partly Cloudy,snow,-0.033333333,-3.172222222,0.76,6.9391,1024.62
Clear,snow,-1.022222222,-3.894444444,0.82,4.7656,1024.22
Clear,snow,-2.311111111,-2.311111111,0.88,4.3953,1024.42
Mostly Cloudy,snow,-2.311111111,-5.255555556,0.88,4.3631,1024.33
Overcast,snow,-1.377777778,-4.038888889,0.89,4.6851,1024.42
Overcast,snow,-2.383333333,-6.966666667,0.88,4.7978,1024.15
Overcast,snow,-1.922222222,-5.588888889,0.88,4.347,1024.13
Overcast,snow,-1.9,-5.466666667,0.89,4.2987,1024.11
Overcast,snow,-2.383333333,-6.35,0.88,3.8479,1023.64
Overcast,snow,-2.383333333,-4.933333333,0.88,3.864,1023.5
Foggy,snow,-4.466666667,-4.466666667,0.88,2.9946,1020.93
Overcast,snow,-2.916666667,-5.488888889,0.92,3.864,1022.73
Foggy,snow,-2.894444444,-5.405555556,0.92,3.0751,1022.15
Foggy,snow,-2.877777778,-5.455555556,0.93,3.1717,1021.77
Overcast,snow,-2.916666667,-2.916666667,0.92,3.3971,1021.54
Foggy,snow,-2.938888889,-6.138888889,0.93,2.9302,1021.14
Foggy,snow,-2.888888889,-5.85,0.92,1.61,1021.06
Foggy,snow,-2.938888889,-4.938888889,0.92,1.2558,1020.95
Foggy,snow,-2.894444444,-2.894444444,0.92,0.805,1020.93
Foggy,snow,-2.938888889,-2.938888889,0.93,0.8211,1020.75
Foggy,snow,-2.894444444,-4.766666667,0.92,1.288,1020.54
Foggy,snow,-2.872222222,-2.872222222,0.92,1.449,1020.14
Foggy,snow,-2.8,-2.8,0.92,1.771,1020
Foggy,snow,-2.844444444,-4.766666667,0.92,2.2057,1019.54
Overcast,snow,-3.838888889,-3.838888889,0.92,3.4454,1019.23
Foggy,snow,-3.75,-3.75,0.92,3.1556,1019.23
Overcast,snow,-3.838888889,-7.105555556,0.85,3.8962,1019.32
Overcast,snow,-3.888888889,-3.888888889,0.92,3.9123,1019.53
Overcast,snow,-3.855555556,-6.927777778,0.92,4.1538,1019.81
Overcast,snow,-3.888888889,-7.155555556,0.92,3.9284,1019.72
Overcast,snow,-4.4,-8.705555556,0.92,3.4615,1020.03
Overcast,snow,-4.422222222,-7.183333333,0.9,3.5581,1020.22
Overcast,snow,-4.35,-4.35,0.88,3.4937,1020.23
Partly Cloudy,rain,9.216666667,8.627777778,0.9,14.6349,1014.24
Partly Cloudy,rain,8.683333333,8.2,0.9,11.6725,1014.73
Mostly Cloudy,rain,9.188888889,7.3,0.77,14.9569,1013.46
Partly Cloudy,rain,8.594444444,7.788888889,0.93,11.6725,1014.81
Partly Cloudy,rain,7.505555556,7.505555556,0.93,9.6761,1014.35
Partly Cloudy,rain,6.216666667,4.194444444,0.95,9.6922,1014.42
Foggy,rain,5.855555556,5.855555556,0.93,0.4669,1014.35
Clear,rain,5.933333333,5.933333333,1,5.8443,1014.55
Clear,rain,10.40555556,10.40555556,1,5.3935,1014.91
Partly Cloudy,rain,12.54444444,12.54444444,0.78,9.5312,1014.44
Partly Cloudy,rain,13.86111111,13.86111111,0.77,11.1251,1014.52
Partly Cloudy,rain,15.97777778,15.97777778,0.63,11.3988,1014.75
Partly Cloudy,rain,17.26666667,17.26666667,0.57,11.27,1014.41
Partly Cloudy,rain,17.84444444,17.84444444,0.5,11.27,1014.02
Partly Cloudy,rain,16.42777778,16.42777778,0.54,10.8997,1013.55
Partly Cloudy,rain,17.77777778,17.77777778,0.46,11.27,1013.02
Partly Cloudy,rain,17.84444444,17.84444444,0.45,11.27,1011.95
Partly Cloudy,rain,17.3,17.3,0.5,11.3988,1012.11
Partly Cloudy,rain,15.18333333,15.18333333,0.65,11.2056,1012.13
Mostly Cloudy,rain,13.00555556,13.00555556,0.7,15.8263,1012.52
Mostly Cloudy,rain,12.69444444,12.69444444,0.74,9.982,1013.08
Partly Cloudy,rain,12.19444444,12.19444444,0.72,9.982,1013.35
Partly Cloudy,rain,12.08333333,12.08333333,0.71,15.8263,1013.19
Partly Cloudy,rain,10.61666667,10.61666667,0.74,14.9569,1013.54
Partly Cloudy,rain,9.533333333,8.677777778,0.76,15.8263,1013.49
Mostly Cloudy,rain,9.972222222,7.966666667,0.71,15.8263,1013.41
Partly Cloudy,rain,4.911111111,4.911111111,0.91,3.4454,1015.4
Partly Cloudy,rain,7.916666667,5.855555556,0.78,15.8263,1013.19
Partly Cloudy,rain,7.383333333,4.755555556,0.82,15.8263,1012.8
Mostly Cloudy,rain,7.972222222,5.894444444,0.82,14.8764,1013.1
Overcast,rain,8.816666667,6.538888889,0.84,10.948,1013.14
Mostly Cloudy,rain,8.794444444,5.555555556,0.84,10.948,1013.64
Overcast,rain,7.888888889,4.088888889,0.89,11.2056,1014.12
Overcast,rain,7.8,4.333333333,0.96,7.9695,1014.48
Overcast,rain,7.822222222,5.35,0.95,6.118,1014.97
Overcast,rain,7.944444444,6.233333333,0.95,10.0625,1015.66
Overcast,rain,8.077777778,5.455555556,0.94,11.27,1015.89
Overcast,rain,10.22777778,10.22777778,0.81,11.27,1015.69
Overcast,rain,11.36111111,11.36111111,0.74,11.0768,1015.59
Mostly Cloudy,rain,12.45,12.45,0.7,11.27,1015.24
Partly Cloudy,rain,12.91666667,12.91666667,0.67,11.2056,1014.77
Partly Cloudy,rain,12.55,12.55,0.62,11.3988,1014.73
Partly Cloudy,rain,12.38333333,12.38333333,0.69,11.2056,1014.49
Partly Cloudy,rain,10.22777778,10.22777778,0.75,11.2056,1014.7
Partly Cloudy,rain,9.227777778,7.811111111,0.78,9.982,1015.38
Clear,rain,7.827777778,6.622222222,0.87,9.982,1015.81
Clear,rain,6.677777778,5.727777778,0.91,15.8263,1015.89
Clear,rain,6.122222222,4.938888889,0.91,14.168,1015.9
Partly Cloudy,rain,5.327777778,4.15,0.95,8.1305,1015.92
Clear,rain,4.355555556,1.705555556,0.95,3.3649,1015.89
Mostly Cloudy,rain,9.272222222,9.272222222,0.89,15.0052,1007.55
Partly Cloudy,rain,4.261111111,2.866666667,0.92,4.7495,1015.21
Partly Cloudy,rain,3.216666667,1.666666667,0.92,5.2164,1015.18
Partly Cloudy,rain,3.905555556,2.516666667,0.92,5.9248,1014.89
Foggy,rain,2.711111111,0.472222222,0.96,0.5152,1014.29
Foggy,rain,3.816666667,2.644444444,1,2.737,1014.35
Clear,rain,6.883333333,5.105555556,0.93,5.6833,1014
Mostly Cloudy,rain,8.938888889,6.533333333,0.88,11.2056,1013.53
Mostly Cloudy,rain,11.20555556,11.20555556,0.79,9.982,1013.05
Mostly Cloudy,rain,12.85,12.85,0.7,11.0285,1012.74
Mostly Cloudy,rain,13.96111111,13.96111111,0.63,11.2056,1011.92
